num_steps,num_particles,success_rate,standard_error
5,10,0.14,0.010972693
5,20,0.208,0.012834952
5,50,0.409,0.015547315
5,100,0.563,0.015685375
10,10,0.225,0.013205113
10,20,0.314,0.014676648
10,50,0.595,0.015523369
10,100,0.758,0.013543855
20,10,0.322,0.01477552
20,20,0.495,0.015810598
20,50,0.777,0.013163244
20,100,0.914,0.00886589
50,10,0.563,0.015685375
50,20,0.758,0.013543855
50,50,0.965,0.005811626
50,100,1,0
100,10,0.778,0.013142146
100,20,0.95,0.006892024
100,50,0.999,0.0009995
100,100,1,0
